city_id,city,lat,lon,2010,2100
1,New York City,-74.00597,40.71427,65.01815101220436,74.44039503959822
7,Philadelphia,-75.16379,39.95233,66.70442897132246,75.9591415781519
26,Baltimore,-76.61219,39.29038,68.05295886015475,77.26329149220138
27,Boston,-71.05977,42.35843,61.754885194185114,71.54198281902154
29,"Washington, D.C.",-77.03637,38.89511,69.8307134591719,79.00009015645082
77,Newark,-74.17237,40.73566,65.01815101220436,74.44039503959822
84,Jersey City,-74.07764,40.72816,65.01815101220436,74.44039503959822
113,Arlington,-77.10428,38.88101,69.8307134591719,79.00009015645082
139,Worcester,-71.80229,42.26259,59.92645228316881,69.88593946064988
144,Providence,-71.41283,41.82399,61.98863289133218,71.6284693386131
172,Springfield,-72.58981,42.10148,63.23074974343725,73.28180832954301
183,Paterson,-74.17181,40.91677,64.67694090841348,74.20755065081853
188,Bridgeport,-73.20483,41.16704,63.360068421485245,72.91483735385029
6333,Alexandria,-77.04692,38.80484,69.8307134591719,79.00009015645082
6944,New Haven,-72.92816,41.30815,62.46565116031304,72.13507473880308
9794,Elizabeth,-74.2107,40.66399,65.01815101220436,74.44039503959822
6916,Hartford,-72.68509,41.76371,63.024868777997234,73.00268591475827
6993,Stamford,-73.53873,41.05343,63.72643973214277,73.32083312152187
11273,Allentown,-75.49018,40.60843,64.14163128936833,73.63972600649464
7007,Waterbury,-73.0515,41.55815,61.674689657132916,71.52543959108088
11863,Pottsville,-76.1955,40.68565,63.694610777256,73.12757138186944
11719,Mechanicsburg,-77.00859,40.21426,64.91954548516607,74.27012802333034
8126,Lancaster,-71.67312,42.45565,61.0643702987401,70.96701062764171
11639,Kingston,-75.89686,41.26175,61.115696001444945,70.84271529942302
10133,Binghamton,-75.91797,42.09869,59.20647078004605,69.23489454713523
11298,Back Mountain,-75.99631,41.33591,61.115696001444945,70.84271529942302
11916,Scranton,-75.6649,41.40916,59.79811088666512,69.54749821075006
